,sample,masked_medial_cells,mig_speed_um_per_min
58,tjabi_06,Yes,0.036615906446934100
59,tjabi_07,No,0.10492263299228200
60,tjabi_08,Yes,0.06945543157208620
61,tjabi_09,Yes,0.06904979178407160
62,tjabi_10,Yes,0.00967500649953811
63,tjabi_11,Yes,0.016465894049159800
64,tjabi_12,Yes,0.12649850954556000
65,tjabi_13,Yes,0.036253900369711500
66,tjabi_14,Yes,0.06861080356468920
67,tjabi_15,No,0.11010632450997100
68,tjabi_16,Yes,0.047688718594376600
69,tjabi_17,Yes,0.07602507859981620
70,tjabi_18,Yes,0.014792258516872400
71,tjabi_19,Yes,0.13802649383475300
72,tjabi_20,Yes,0.04548113764522670
73,tjabi_21,Yes,0.04056953267942980
74,tjabi_23,Yes,0.059950057218296300
75,tjabi_25,Yes,0.03380216234980890
76,tjabi_26,Yes,0.05239487085523930
77,tjabi_27,Yes,0.050615648473124300
78,tjabi_28,Yes,0.06787384263577410
79,tjabi_29,Yes,0.05945276771192790
80,tjabi_30,No,0.07862364542261520
81,tjabi_31,Yes,0.04334285784939500
82,tjabi_32,Yes,0.11281455795375200
83,10930_01,Yes,0.34464131132196700
84,10930_02,Yes,0.3058640020548680
85,10930_03,Yes,0.35031176332101600
86,10930_04,No,0.34556105823071200
87,10930_05,No,0.2039640980433720
88,10930_06,Yes,0.4112433014891020
89,10930_07,Yes,0.6160917515512490
90,10930_08,No,0.638341638886382
91,10930_11,Yes,0.4880859240576590
92,10930_12,Yes,0.21040246306957200
93,10930_13,No,0.27920266043676000
94,10930_14,Yes,0.7509156493187910
95,10930_15,No,0.32415638200009200
96,10930_16,Yes,0.7028076626696380
97,10930_18,Yes,0.6869389919093800
98,10930_19,Yes,0.588932056536376
99,10930_20,Yes,0.6164500537095400
100,10930_21,Yes,0.4602620442407470
101,10930_22,Yes,0.5693639484167400
102,10930_23,Yes,0.4911154679305480
103,10930_24,Yes,0.5008335994414580
104,10930_25,Yes,0.6992794822391290
105,10930_26,No,0.2618645841386370
106,10930_27,Yes,0.7809816094735420
107,10930_46,Yes,0.6617418281818340
108,10930_48,Yes,0.3959660112760460
109,10930_51,Yes,0.7899998052690170
110,10930_53,Yes,0.47089060692553400
111,10930_57,Yes,0.3573715253428910
112,10930_59,Yes,0.6927519739161840
113,10930_62,Yes,0.3883899928925850
114,10930_64,Yes,0.3685697718098110
115,10930_66,Yes,0.5851480709306120
116,10930_67,No,0.33080625861763900
117,10930_68,Yes,0.4735625664493720
118,10930_69,No,0.2810498544335430
119,10930_70,Yes,0.5193854010603870
120,10930_71,Yes,0.30561450888373100
121,10930_72,No,0.2372317813977340
122,10930_73,Yes,0.5249550973644500
123,10930_74,No,0.23113083907115600
124,10930_75,Yes,0.41229509156117000
125,10930_76,No,0.25811346339425300
126,10930_78,Yes,0.21953205663901500
127,10930_79,No,0.3711473813406260
128,10930_80,No,0.21443198127283400
129,10930_81,Yes,0.2844598213842610
130,10930_82,No,0.2457401736949790
131,10930_83,No,0.2896523433910600
132,10930_84,Yes,0.4169765436569190
133,10930_85,Yes,0.6114153637952440
134,10930_86,Yes,0.49834524899690900
135,10930_87,No,0.4193057266675950
136,10930_88,Yes,0.42746094646688000
137,10930_89,Yes,0.7358557744891370
138,10930_90,Yes,0.8147578180251400
139,10930_91,Yes,0.6940607661054190
140,10930_100,No,0.3949132062183100
141,10930_101,No,0.31640854219717100
142,10930_102,No,0.33554762994458100
143,10930_92,No,0.19773141590676600
144,10930_93,Yes,0.2404310144157090
145,10930_94,Yes,0.28662361933900700
146,10930_95,No,0.2409205931071800
147,10930_97,No,0.19561110206729100
148,10930_98,Yes,0.3210028510968000
149,10930_99,No,0.23523829310583600
150,10930fat2_01,Yes,0.4176377543793580
151,10930fat2_02,No,0.030186115974209100
152,10930fat2_03,Yes,0.11208093989862000
