,Unnamed: 0,cell,centroid_row,centroid_col,frame
0,0,1,274.4674721189591,568.3131970260223,0
1,1,2,287.9021345147,415.0702778896496,0
2,2,3,294.2700790678319,493.5222638368706,0
3,3,4,311.784877039761,352.4782808549759,0
4,4,5,341.8748659277797,612.3235609581694,0
5,5,6,332.16935255866554,545.2329657902177,0
6,6,7,348.89797112758487,254.6238782676551,0
7,7,8,353.60644595483444,685.3255864941899,0
8,8,9,353.3476630121177,419.5129832660127,0
9,9,10,360.7055702917772,472.5212201591512,0
10,10,11,367.5168925753591,316.654865466316,0
11,11,12,360.1775700934579,512.5560747663551,0
12,12,13,393.5524252817247,373.3057324840764,0
13,13,14,396.1012006861063,537.4901372212693,0
15,15,16,425.5158916025426,596.0915021746404,0
16,16,17,409.4129175946548,191.5184855233853,0
17,17,18,416.1489808783358,678.2845135532675,0
18,18,19,429.2268663928485,236.6680357574293,0
19,19,20,429.1290322580645,432.5228857890148,0
20,20,21,434.2791452012975,296.5859568784583,0
21,21,22,457.9465287299016,504.6020191948149,0
22,22,23,465.3931000971817,733.350583090379,0
23,23,24,464.27118320610685,366.4700381679389,0
24,24,25,478.4147681370173,659.3664566165778,0
26,26,27,503.4383157894737,424.86547368421054,0
27,27,28,517.4127736717334,241.6563938083949,0
28,28,29,507.0707510894642,322.41168931043325,0
29,29,30,531.1443722203215,606.4843197628007,0
30,30,31,518.8109072375128,529.8873598369012,0
31,31,32,545.7653039152066,475.59961064244,0
32,32,33,543.5630869742752,700.1369946917109,0
33,33,34,551.2303995953465,391.6575619625696,0
34,34,35,566.4315240083507,311.60605427974946,0
35,35,36,563.1141423643776,541.5841956726247,0
36,36,37,607.0416964498452,374.9868954014772,0
38,38,39,617.4564978836809,449.81266656215706,0
39,39,40,603.136712749616,584.0743471582181,0
40,40,41,633.102849656076,524.1529642974124,0
42,42,43,646.1412146226415,627.5878537735849,0
43,43,44,669.144768439108,574.8480274442538,0
47,0,1,277.3875572313493,564.0659843792082,1
48,1,2,286.53960029607697,414.6145447816433,1
49,2,3,293.9889344262295,493.6752049180328,1
50,3,4,312.32260460510025,352.1440950730379,1
51,4,5,342.62223858615613,612.149852724595,1
52,5,6,332.46552706552706,545.1310541310542,1
53,6,7,347.9286063569682,248.44319478402608,1
54,7,8,354.26435733819505,684.6383318140383,1
55,8,9,353.37344983089065,419.1003382187148,1
56,9,10,362.6609863155177,471.5140717789827,1
57,10,11,367.6172277227722,317.540198019802,1
58,11,12,359.26323529411764,511.03970588235296,1
59,12,13,394.1737490570782,373.1674629117425,1
60,13,14,395.918639690056,537.1291433491175,1
62,15,16,425.9442372881356,594.6789830508475,1
63,16,17,408.7035928143712,190.98331907613343,1
64,17,18,415.5193798449613,676.9153406772746,1
65,18,19,428.6284437825763,237.36957061305532,1
66,19,20,434.5025331254872,430.8189789555729,1
67,20,21,434.8198403648803,296.26586849106803,1
68,21,22,459.32758620689657,504.7013148102208,1
69,22,23,464.108545034642,732.6345907108032,1
70,23,24,465.3052286320664,364.8633995755354,1
71,24,25,478.5401367032269,659.3244317278652,1
73,26,27,506.7744701119314,424.22195760895454,1
74,27,28,518.9538313120177,240.49531422271224,1
75,28,29,507.6912893831083,322.27693936987026,1
76,29,30,531.7278481012659,608.1641048824594,1
77,30,31,521.637494021999,530.351506456241,1
78,31,32,546.2231551038444,473.9279717189571,1
79,32,33,544.3861855670103,699.1635051546392,1
80,33,34,550.99025,390.9675,1
81,34,35,567.3760474146741,310.3834048640916,1
82,35,36,563.5628058727569,541.7618270799347,1
83,36,37,608.7013793103448,374.243908045977,1
84,37,39,616.7207336523126,449.203668261563,1
85,38,40,601.8947983635301,585.4807130333138,1
86,39,41,631.3364564162623,524.2185042663543,1
88,41,43,648.6931788931789,626.0509652509653,1
89,42,44,669.3214926444206,571.9217796914245,1
95,0,1,276.8761013215859,564.2819383259912,2
96,1,2,286.8684987089635,414.652342309111,2
97,2,3,293.2409836065574,493.92602459016393,2
98,3,4,310.88805790108563,349.63088057901086,2
99,4,5,341.74990744168826,611.6914105886709,2
100,5,6,331.2290930506478,544.6790341578327,2
101,6,7,347.54133099824867,251.0367775831874,2
102,7,8,352.33647408876766,682.4185469873544,2
103,8,9,351.45024237239807,418.58682634730536,2
104,9,10,362.4800942902043,472.86982713462544,2
105,10,11,366.6651539068666,317.498816101026,2
106,11,12,358.80988023952096,512.056886227545,2
107,12,13,392.95039230574537,373.3938243482663,2
108,13,14,394.77060619276057,537.9402529437418,2
110,15,16,423.9807564698076,596.0421366954214,2
111,16,17,413.25079815537424,187.7467186945725,2
112,17,18,414.7989406312072,677.1304347826087,2
113,18,19,428.80048780487806,237.09073170731708,2
114,19,20,433.8841874886011,431.7260623746124,2
115,20,21,434.1093807934743,296.70133481646275,2
116,21,22,459.051498470948,505.45125382263,2
117,22,23,463.5367975546673,734.8516341406066,2
118,23,24,464.8579632465544,364.8039816232772,2
119,24,25,476.7186477644493,658.9032559588721,2
121,26,27,506.8415327564895,423.4711990111248,2
122,27,28,518.7913440265487,239.27170907079645,2
123,28,29,507.1488611713666,323.05883947939265,2
124,29,30,526.611145510836,605.4580804953561,2
125,30,31,521.3323201621074,528.7375886524823,2
126,31,32,545.8713882250706,473.7981751031936,2
127,32,33,543.5864836325237,697.9558606124604,2
128,33,34,551.3055208593555,391.037971521359,2
129,34,35,566.25415484394,309.5145926226186,2
130,35,36,561.7646673221894,543.141592920354,2
131,36,37,608.1738834731353,373.1333031058717,2
132,37,39,616.820824774846,448.9162584926528,2
133,38,40,601.2037701974865,584.869539198085,2
134,39,41,629.4713267729895,524.7653545978961,2
136,41,43,646.4978540772532,629.6321635950518,2
137,42,44,666.7885431400283,572.9639321074965,2
141,46,125,603.3029459522153,667.4581303641846,2
142,0,1,275.72070914696815,565.2551387461459,3
143,1,2,286.5601804387944,416.8843551363543,3
144,2,3,292.16998407643314,492.4281449044586,3
145,3,4,311.473218555715,351.8316594930655,3
146,4,5,340.8877106608597,611.3815565233857,3
147,5,6,331.5483497394325,545.2637521713955,3
148,6,7,344.8368387507967,248.52644996813257,3
149,7,8,352.4173114119923,683.3551740812379,3
150,8,9,350.7859302006046,419.8642484198956,3
151,9,10,361.711389703921,474.1069618564951,3
152,10,11,366.8463643471462,316.812744331509,3
153,11,12,357.8868778280543,511.7481146304676,3
154,12,13,392.8489003880984,373.3673997412678,3
155,13,14,394.0818779768655,537.2898616466318,3
156,14,16,422.96429741238126,595.3453979692106,3
157,15,17,407.4219084296106,192.11852802738557,3
158,16,18,414.06876355748375,676.4754880694143,3
159,17,19,429.5230923694779,237.14784136546183,3
160,18,20,432.38494546754873,431.6073663507957,3
161,19,21,434.8786284470247,296.28047895500725,3
162,20,22,458.8627330716389,505.619970559372,3
163,21,23,463.7738439306359,733.5520231213873,3
164,22,24,465.11874160751967,364.7082294264339,3
165,23,25,476.2609827031992,658.2375631409766,3
167,25,27,506.12862669245646,422.7613636363636,3
168,26,28,516.4071646341464,245.1454268292683,3
169,27,29,507.0962732919255,323.8178994918125,3
170,28,30,526.0206887851647,605.3857701526429,3
171,29,31,519.7574590952839,529.6660250240616,3
172,30,32,545.8803972366148,472.6988341968912,3
173,31,33,543.2689127738735,699.6868540719305,3
174,32,34,551.9526355996944,390.7677616501146,3
175,33,35,566.8227245687091,309.3634741225461,3
176,34,36,562.6201298701299,542.4126623376624,3
177,35,37,608.8239106145252,372.6835754189944,3
178,36,39,617.0102945834653,448.3070953436807,3
179,37,40,600.9048414023372,588.8141346688926,3
180,38,41,627.6456611570248,524.8870523415978,3
181,39,43,648.6901592273558,624.1665361524406,3
182,40,44,669.3669090909091,568.8018181818181,3
185,43,125,604.6040281579976,671.4712553773954,3
188,0,1,273.5970464135021,568.7623066104079,4
189,1,2,286.53214285714284,417.4231092436975,4
190,2,3,290.92313694888804,495.2222005462349,4
191,3,4,311.95524542829645,351.3948508180943,4
192,4,5,340.3574364723468,611.2976457399103,4
193,5,6,332.6617298578199,544.6658767772511,4
194,6,7,347.7181884855152,253.53226989365604,4
195,7,8,352.1241774570155,686.8267883676501,4
196,8,9,350.457528446679,418.9124106906589,4
197,9,10,359.67855198693525,472.7313554708765,4
198,10,11,366.61769842810014,317.37065786920243,4
199,11,12,357.0814479638009,509.7526395173454,4
200,12,13,393.6751322751323,373.957671957672,4
201,13,14,393.5487610820641,537.3614457831326,4
202,14,16,422.604891033106,594.589585759441,4
203,15,17,406.2680798004988,192.5947630922693,4
204,16,18,414.09832591650775,676.198347107438,4
205,17,19,429.854892601432,238.19713603818616,4
206,18,20,434.21685008118345,431.83709182753023,4
207,19,21,437.2144344205413,297.5973282442748,4
208,20,22,457.9247081248511,504.4129139861806,4
209,21,23,467.93376455368696,733.0915912031048,4
210,22,24,466.1923376118242,365.41112407623496,4
211,23,25,475.9029645476773,657.5281173594132,4
212,24,27,506.7278823832861,421.67345885994325,4
213,25,28,521.3639846743295,240.92649354335177,4
214,26,29,508.7116868798236,323.3773428886439,4
215,27,30,524.9594017094017,603.7014831573655,4
216,28,31,520.8665667166417,528.3563218390805,4
217,29,32,545.6006038386888,472.1125727841277,4
218,30,33,542.6041237113402,699.1175257731959,4
219,31,34,552.2071662881656,390.38430481958113,4
220,32,35,568.6504031424437,310.0128178623113,4
221,33,36,563.3974732750243,542.2623906705539,4
222,34,37,607.5489248610776,371.7281952162358,4
223,35,39,616.4635089415176,448.0217496375061,4
224,36,40,600.6736131493983,588.2861755209861,4
225,37,41,619.9608971814212,523.6002381897579,4
226,38,43,646.6718244803695,633.1884526558891,4
227,39,44,668.3232382061735,570.2827606290041,4
229,41,125,598.1695871695872,657.5586575586576,4
230,42,187,399.1691228070175,738.3873684210527,4
232,0,1,272.1871318531944,566.6785228817399,5
233,1,2,286.5059467623183,414.2312629790448,5
234,2,3,292.13401238266425,494.9754343918514,5
235,3,4,312.727928794804,350.59249458744284,5
236,4,5,340.4272809394761,611.2937669376694,5
237,5,6,333.51738361814967,544.2492634060106,5
238,6,7,348.26735475278844,250.1801231896121,5
239,7,8,351.655156102176,682.8344370860927,5
240,8,9,351.7097986577181,418.806711409396,5
241,9,10,360.3892561983471,472.8118457300275,5
242,10,11,367.9458878687244,317.6677085368236,5
243,11,12,358.51510333863274,509.42766295707474,5
244,12,13,394.9087802313354,374.5515247108307,5
245,13,14,394.22379406307977,537.5962430426716,5
246,14,16,424.265923052053,594.5475266731329,5
247,15,17,417.3478010922679,186.22132796780684,5
248,16,18,414.4834626378113,677.2625561453655,5
249,17,19,429.9940989559692,238.4877439854744,5
250,18,20,438.2553981106613,433.1233130904184,5
251,19,21,438.4921998247152,298.7470639789658,5
252,20,22,458.1535485431024,504.0414701970741,5
253,21,23,465.6294218101976,735.25567211515,5
254,22,24,468.0738049713193,365.4309751434034,5
255,23,25,477.34002738475584,659.2349003499163,5
256,24,27,509.5482117310444,419.34163090128754,5
257,25,28,521.8646026537309,240.75802539591956,5
258,26,29,511.0328233657858,323.41585535465924,5
259,27,30,524.5856521165765,602.1532375049453,5
260,28,31,519.8007831620166,528.5188448360254,5
261,29,32,546.6943626419857,471.97055111485065,5
262,30,33,543.9699830092505,698.7070039645082,5
263,31,34,554.425142291512,390.2534026231131,5
264,32,35,570.1390306122449,309.6075680272109,5
265,33,36,564.3117421825143,542.2310146777281,5
266,34,37,611.1226458429031,373.6995865870464,5
267,35,39,618.5193280052193,448.8709835263416,5
268,36,40,601.2126919733411,589.122283396117,5
269,37,41,619.8635715740176,523.866422317247,5
270,38,43,649.2170465807731,627.5195738354806,5
271,39,44,667.5327433628319,572.5345132743363,5
272,40,125,599.8471237194641,659.7402153926977,5
273,41,187,397.0032388663968,734.8348178137652,5
277,0,1,274.4158316633266,566.0120240480962,6
278,1,2,285.76520112254445,414.3274087932648,6
279,2,3,291.544040443321,495.5154579039471,6
280,3,4,313.31427099433284,352.45595054095827,6
281,4,5,340.7256830601093,610.9433515482696,6
282,5,6,332.61775472849297,544.2693715680293,6
283,6,7,348.69170579029736,251.63849765258212,6
284,7,8,350.05169082125605,682.08961352657,6
285,8,9,351.69815852682143,419.93354683747,6
286,9,10,359.4029043280182,472.9367881548975,6
287,10,11,366.841263650546,318.90464118564745,6
288,11,12,357.7859327217125,509.4908256880734,6
289,12,13,395.0921838483511,374.67696702155285,6
290,13,14,393.1296863947183,536.9712331997171,6
291,14,16,423.3980204445887,593.8033425279896,6
292,15,17,409.37535468179976,191.6392379408188,6
293,16,18,413.2272174969624,676.2942486836776,6
294,17,19,430.59874946097455,238.65545493747305,6
295,18,20,439.133322346737,434.1905075807515,6
296,19,21,438.2130229301593,299.0628391388062,6
297,20,22,457.64846662657845,505.4565243535779,6
298,21,23,462.37142857142857,734.1398496240602,6
299,22,24,468.54079121711146,366.0106000378573,6
300,23,25,476.1816202767843,659.1271963924739,6
301,24,27,508.89458010720665,419.1173317450864,6
302,25,28,522.1288397146601,240.35682049788903,6
303,26,29,510.62779291553136,322.7926430517711,6
304,27,30,523.4443289593348,602.0027283357152,6
305,28,31,519.4431106471816,526.0949895615867,6
306,29,32,546.6363829335597,470.49501167480366,6
307,30,33,542.446368159204,698.0037810945273,6
308,31,34,554.5153788447112,390.0650162540635,6
309,32,35,568.9139991463935,310.61971830985914,6
310,33,36,562.4449166394246,541.533180778032,6
311,34,37,610.5656385419322,372.7055824624012,6
312,35,39,618.1867691814832,447.4947941694698,6
313,36,40,600.160469667319,589.3609169695276,6
314,37,41,617.0295332507228,522.5559686080132,6
315,38,43,646.3703795584222,632.2257504341354,6
316,39,44,665.8111292962357,573.5155482815057,6
317,40,125,597.2097347552639,658.7049494120864,6
318,41,187,398.3235139400316,731.2756443976855,6
323,0,1,277.6865985576923,561.8626802884615,7
324,1,2,284.90236087689715,410.6364249578415,7
325,2,3,292.5008699014112,496.4382369998067,7
326,3,4,315.2444205431568,353.9066953482119,7
327,4,5,341.94106881405565,610.398243045388,7
328,5,6,334.1859093730602,544.2417752948479,7
329,6,7,350.2770199370409,252.3954179783141,7
330,7,8,351.88620028749403,683.235745088644,7
331,8,9,353.01456703533853,419.8343674130024,7
332,9,10,360.11197243755385,472.7160493827161,7
333,10,11,368.86121413234434,318.59886785086866,7
334,11,12,359.19642857142856,509.3318452380952,7
335,12,13,395.48010335917314,375.0087855297157,7
336,13,14,393.2649325626204,536.8815028901735,7
337,14,16,425.8675549847488,593.1778776689678,7
338,15,17,410.84379727685325,191.55824508320725,7
339,16,18,414.1999602464719,676.1115086463924,7
340,17,19,428.8723805038851,239.9157052036732,7
341,18,20,441.89542176230793,434.7157416117905,7
342,19,21,439.9472383977413,300.0412916887242,7
343,20,22,458.36202500910525,506.1442272672089,7
344,21,23,469.342378559464,726.891122278057,7
345,22,24,470.9202884797874,366.0138546213703,7
346,23,25,477.25352782622485,658.867448866339,7
347,24,27,509.83616,418.88544,7
348,25,28,523.707052970442,240.2246122329529,7
349,26,29,512.9161935658286,322.08434712084346,7
350,27,30,525.5677493022075,601.7113676731794,7
351,28,31,520.7011557512383,526.6543753439736,7
352,29,32,547.3700688791484,470.3256105197245,7
353,30,33,542.9557104777527,697.6555259380767,7
354,31,34,555.6928606841844,390.61328705999006,7
355,32,35,571.6831844029244,310.3365150284322,7
356,33,36,565.0672323759791,539.0574412532637,7
