,cell,centroid_row,centroid_col,frame
0,1,169.86247086247087,453.26884226884226,0
1,2,186.69929078014184,506.4867612293144,0
2,3,181.1519659936238,396.2224583776125,0
3,4,180.61408450704226,566.3295774647887,0
4,5,210.9079312257349,335.48031059345533,0
5,6,222.94851007887817,559.8766432953549,0
6,7,218.98446705945366,626.6052490626673,0
7,8,216.4073967061543,443.80236925744003,0
8,9,230.2711344721857,683.0087604029785,0
9,10,244.22492697176241,296.04316780266146,0
10,11,234.745,388.2386666666667,0
11,12,245.90662964248526,243.542172856647,0
12,13,252.7041332143919,492.49747249479634,0
13,14,282.2357653171682,567.769647109764,0
14,15,279.8945623342175,641.381299734748,0
15,16,291.4566709964743,348.55242159955463,0
16,17,290.1610870421426,423.2558093737692,0
17,18,278.3663003663004,710.8867798867799,0
18,19,300.21188210721743,201.05430494314226,0
19,20,299.72690572310614,270.7917359297079,0
20,21,315.5067016317016,769.6311188811189,0
21,22,302.43681236990784,494.1445138269402,0
22,23,325.86160552124954,664.0977115873593,0
23,24,337.1710603397774,719.3488576449912,0
24,25,338.75766950244906,587.6223253415828,0
25,26,356.1031363088058,451.7392440691596,0
26,27,355.93399419729207,525.4750967117989,0
27,28,356.39529724933453,372.0578970718722,0
28,29,353.1716666666667,300.7733333333333,0
29,30,355.0564208051719,232.82779900088158,0
30,31,361.3113072519084,164.84995229007635,0
31,32,379.07524752475246,626.1747524752475,0
32,33,383.1701073492981,785.6867602532343,0
33,34,390.02762063227954,679.70615640599,0
34,35,400.3688878235858,735.4892138063279,0
35,36,412.66409385612843,118.20006174745292,0
36,37,411.4533871310257,401.7606710554258,0
37,38,410.07611266394326,240.24962373683078,0
38,39,409.8200267022697,489.90173564753,0
39,40,415.66086760054225,563.4371893357434,0
40,41,415.9641841955657,317.7206746257343,0
41,42,432.16149762503494,822.5755797708857,0
42,43,429.04549950544015,164.66147378832838,0
43,44,447.00632911392404,628.0282832278481,0
44,45,448.5243410852713,700.0818604651163,0
45,46,464.1032563891179,451.7421681780709,0
46,47,461.30869338886,770.3365434669442,0
47,48,467.005834601725,519.1722475900558,0
48,49,465.3517673888255,203.56299885974914,0
49,50,473.9659493326069,264.3887224189594,0
50,51,469.04829545454544,383.2855113636364,0
51,52,478.5947587088527,327.213167146053,0
52,53,485.8967337512372,120.55823160673046,0
53,54,500.08987875593044,595.9517659462309,0
54,55,505.5066796210833,666.2081612824873,0
