Unnamed: 0,cell,centroid_row,centroid_col,frame,,
0,1,283.02152230971100,487.23044619422600,0,,
0,1,283.9864386792450,487.1789504716980,1,,
0,1,283.6470588235290,489.33323380113500,2,,
0,1,285.1608502538070,489.6157994923860,3,,
0,1,283.8978950675460,490.39962299717200,4,,
0,1,283.05591798695200,490.5352593973280,5,,
0,1,284.46989912138000,491.21932964529800,6,,
0,1,285.71797485559000,490.8076792388720,7,,
0,1,285.9754098360660,491.7993442622950,8,,
0,1,285.03695976155000,491.5994038748140,9,,
0,1,285.04074856625400,492.23875641412600,10,,
0,1,286.42075823492900,494.19173399627100,11,,
0,1,286.11537290715400,496.8234398782340,12,,
0,1,285.7662094763090,495.3157730673320,13,,
0,1,285.1317689530690,497.1206377858000,14,,
0,1,282.12179836512300,493.907901907357,15,,
0,1,283.2725947521870,492.79096209912500,16,,
0,1,285.7551735116210,495.468958930277,17,,
0,1,287.2590791180290,496.6391050583660,18,,
0,1,285.08070617906700,494.57219419924300,19,,
0,1,285.4848484848490,493.92179863147600,20,,
0,1,283.2690355329950,492.195114213198,21,,
0,1,283.69657843770200,495.85958683021300,22,,
0,1,283.2382008235670,495.8286347798540,23,,
0,1,283.5431832202340,495.5311536088830,24,,
0,1,281.82995951417,494.2938114517060,25,,
0,1,279.58081752604900,493.83996794015500,26,,
0,1,280.20126742712300,496.2527249683140,27,,
0,1,282.30564692982500,497.2538377192980,28,,
0,1,282.43568102444700,496.7310826542490,29,,
0,1,274.57312082705100,496.7712685763520,30,,
0,1,281.07807455239200,496.7317287936600,31,,
0,1,283.04146634615400,495.97085336538500,32,,
0,1,274.9140701071080,496.6010223953260,33,,
0,1,282.3720125786160,498.5852201257860,34,,
0,1,283.06038242200600,497.16135524991600,35,,
0,1,283.8233590733590,496.36422136422100,36,,
0,1,281.02426343154200,496.3737723859040,37,,
0,1,280.67940432705800,497.4422590615340,38,,
0,1,274.03835360149700,496.921889616464,39,,
0,1,275.1882411067190,497.31571146245100,40,,
0,1,280.60649389335700,497.883526958594,41,,
0,1,277.6783798283260,497.4801502145920,42,,
0,1,280.38598102234500,496.3651668197120,43,,
0,1,284.0492353599400,496.8918314061920,44,,
0,1,277.0844867358710,494.3333333333330,45,,
0,1,277.00058004640400,495.4069025522040,46,,
0,1,281.26841606070200,499.7211508061970,47,,
0,1,277.3987289306440,497.24343741365000,48,,
0,1,279.7807668521950,494.19820655534900,49,,
0,1,276.3544303797470,498.1987341772150,50,,
0,1,278.51422319474800,498.7138949671770,51,,
0,1,283.5271629778670,503.05164319248800,52,,
0,1,278.8052373158760,499.3453355155480,53,,
0,1,279.66377565770500,498.32032379300400,54,,
0,1,280.3374054682960,502.8237347294940,55,,
0,1,276.9974741096240,501.2515786814850,56,,
0,1,282.2666879591190,499.25646758224200,57,,
0,1,278.02211302211300,503.4720174720180,58,,
0,1,278.1593837535010,501.33361344537800,59,,
0,1,285.1969904240770,502.1627906976740,60,,
0,1,276.7535837864560,500.9577360355910,61,,
0,1,283.25368454060800,503.28723737848900,62,,
0,1,276.68070259865300,499.62560153994200,63,,
0,1,277.8651843512530,497.07599211933600,64,,
0,1,272.48316120341300,497.7754827121690,65,,
0,1,275.8714388316970,498.984917404836,66,,
0,1,271.91070663811600,497.5576017130620,67,,
0,1,272.2860841423950,497.8435814455230,68,,
0,1,272.8668652612280,495.5944087992670,69,,
0,1,274.2296395193590,500.0527369826440,70,,
0,1,274.2091092663230,499.3569665694410,71,,
0,1,272.41985244802100,495.9617706237420,72,,
0,1,271.68055555555600,497.3864013267000,73,,
0,1,272.0963482566540,496.1914586342070,74,,
0,1,273.2522678185750,495.9628509719220,75,,
0,1,270.3454191033140,495.5869395711500,76,,
0,1,271.3920408163270,495.144081632653,77,,
0,1,273.1313522825150,496.39448751076700,78,,
0,1,271.71025535420100,496.6453871499180,79,,
0,1,272.5131828728120,495.9586585108630,80,,
0,1,272.36140277194500,493.6820663586730,81,,
0,1,274.4012972972970,495.38054054054100,82,,
0,1,272.7780140335960,492.9738464809700,83,,
0,1,273.53046000828800,495.0149191877330,84,,
0,1,273.193128684692,494.9660500101650,85,,
0,1,275.3057939914160,495.2545064377680,86,,
0,1,274.9907546764140,494.8600301010540,87,,
0,1,277.7892521050030,495.988608221892,88,,
0,1,274.5145673603510,494.17174151150100,89,,
0,1,275.2047208352250,494.7478438492960,90,,
0,1,281.93802490587900,496.6996814364320,91,,
0,1,275.79228486646900,494.9249029901850,92,,
0,1,275.5534192702640,494.7111645182430,93,,
0,1,275.87567204301100,493.2750896057350,94,,
0,1,275.8589830508480,495.0994350282490,95,,
0,1,274.41945355191300,493.9119125683060,96,,
0,1,277.16909620991300,493.928814382896,97,,
0,1,279.2128045619490,494.0857957490930,98,,
0,1,279.3335949764520,493.44531658817400,99,,
0,1,277.2763189592870,492.4203806311730,100,,
0,1,275.7409541368980,491.3523853422450,101,,
0,1,274.05306835553600,490.42083424328500,102,,
0,1,273.2487784151260,491.1174845974080,103,,
0,1,274.6081314878890,491.191392733564,104,,
0,1,272.9311495931570,489.634049655748,105,,
0,1,275.9357777271690,490.0323388749720,106,,
0,1,274.48513753327400,486.3600266193430,107,,
0,1,275.6131772268140,486.6166207529840,108,,
0,1,275.8213518032000,485.0881299259610,109,,
0,1,274.3451590753030,485.108262760357,110,,
