,Unnamed: 0,cell,centroid_row,centroid_col,frame
1,1,2,326.58028113244904,533.8014254603049,0
2,2,3,342.2189349112426,611.0760777683855,0
5,5,6,387.593237704918,560.0905737704918,0
7,7,8,369.6914990859232,472.7408592321755,0
8,8,9,401.7850445382091,292.2902015939991,0
9,9,10,396.3861971830986,406.69887323943664,0
10,10,11,423.6331058020478,350.27935153583616,0
11,11,12,419.35253600500937,613.7111250260906,0
12,12,13,426.9247467438495,507.61765557163534,0
13,13,14,441.2434594594595,451.632,0
15,15,16,474.2330691642652,662.8188040345822,0
16,16,17,480.28900676788,566.5004572891897,0
17,17,18,477.3853994490358,400.7636363636364,0
18,18,19,480.23378212974296,302.87001223990205,0
19,19,20,502.32342493924097,506.182090110301,0
20,20,21,524.4827441077441,351.5993265993266,0
21,21,22,521.6234239282712,454.80778929672175,0
22,22,23,523.0445182724252,612.0739756367664,0
24,24,26,553.5747340425532,403.0901595744681,0
27,27,29,579.4693581780539,518.6693581780538,0
28,28,30,573.4420697412824,451.5736782902137,0
29,29,31,590.7379440131733,577.4683603857916,0
30,30,32,604.6613575104141,357.23107081597647,0
31,31,33,634.0154463390171,422.1959879638917,0
33,1,2,329.49713268736406,532.356535495353,1
34,2,3,342.5187255449972,611.7646730016769,1
36,4,6,387.7135055660576,561.4154589371981,1
37,5,8,370.2105383211679,472.4742244525547,1
38,6,9,399.6576980568012,292.1796213253612,1
39,7,10,395.50237496507407,406.1153953618329,1
40,8,11,423.2746788370521,349.316430020284,1
41,9,12,419.1099611901682,614.777490297542,1
42,10,13,427.5287610619469,507.52433628318585,1
43,11,14,440.9964253798034,450.82596067917785,1
45,13,16,474.1442256519425,663.0963278339542,1
46,14,17,480.4400363967243,567.669881710646,1
47,15,18,476.56009879253565,401.4692645444566,1
48,16,19,474.9863737486096,303.1293103448276,1
49,17,20,501.4577346519873,506.6803508117186,1
50,18,21,524.5711252653928,352.3636363636364,1
51,19,22,521.3739203120647,454.8840902758429,1
52,20,23,522.6770200840729,612.175618869687,1
53,21,26,553.3753134577877,403.5890220117024,1
56,24,29,576.6487414187643,522.5306636155607,1
57,25,30,573.7239621267298,451.3317552804079,1
58,26,31,590.2854528819762,576.656450137237,1
59,27,32,605.9804541534924,361.3207818338603,1
60,28,33,633.6266782156778,423.83867475097446,1
64,1,2,330.0505852013489,531.5453283078754,2
65,2,3,342.62008963880834,611.5075138412866,2
67,4,6,388.3442130126691,560.29203349796,2
68,5,8,370.5537474214989,472.1494384597754,2
69,6,9,401.26673640167365,289.09021966527195,2
70,7,10,395.3762626262626,404.9716610549944,2
71,8,11,421.92021536955457,346.7254038179148,2
72,9,12,421.1233303650935,613.4347729296527,2
73,10,13,427.85783752860414,506.99599542334096,2
74,11,14,441.2585575888052,449.51905274488695,2
75,12,16,475.1449912126538,664.4731107205624,2
76,13,17,481.3272165697674,566.5995639534884,2
77,14,18,476.777686628384,399.9570686354936,2
78,15,19,479.2884806355512,302.612959285005,2
79,16,20,500.04074932406337,506.7410196987254,2
80,17,21,516.9653539381854,350.1348454636092,2
81,18,22,521.9879646964429,455.2666488365873,2
82,19,23,520.7896853560445,611.2808138159451,2
83,20,26,552.4503345342255,401.5797735460628,2
85,22,29,579.5350452536309,516.8343506630183,2
86,23,30,574.5513698630137,451.8687214611872,2
87,24,31,587.5118057117157,575.2835619518777,2
