Unnamed: 0,cell,centroid_row,centroid_col,frame
0,1,126.94656268053149,509.4396302715194,0
1,2,130.4593607305936,332.02054794520546,0
2,3,127.75639567936328,453.27998862990336,0
3,4,134.1443184345119,396.1823437847454,0
5,6,160.73731884057972,289.8053830227743,0
6,7,158.60638998682478,569.1366930171278,0
7,8,179.99857265201257,182.70853554096487,0
8,9,187.55759478386864,238.82540449166868,0
9,10,195.81133900928796,518.0729489164087,0
10,11,190.1308411214953,445.1806074766355,0
11,12,188.23028273809524,365.0394345238095,0
12,13,221.41619479048697,601.1745941864855,0
13,14,225.29701033808325,292.65716680637047,0
14,15,236.4828504828505,342.8238428238428,0
15,16,245.03641009262216,103.61130629191952,0
16,17,246.6065445436042,411.8180679505245,0
17,18,236.52756933115825,145.37128874388256,0
18,19,255.40787289542328,189.9513872421153,0
19,21,265.72951739618406,535.2919940142162,0
20,22,254.288256227758,661.7935943060498,0
21,23,263.6835978835979,251.4920634920635,0
23,25,303.03413892175087,588.9846205847558,0
24,26,287.1724248240563,314.4606525911708,0
25,27,315.2977559871771,385.3484819913257,0
26,28,322.5218800648298,144.56612641815235,0
27,30,300.0504396112911,654.4423877834336,0
28,31,314.2374829001368,214.27140902872776,0
29,32,338.45250357653794,71.05994277539342,0
30,33,340.7159117856296,260.93953047189945,0
31,34,338.43575164885146,510.1043893563793,0
32,35,342.99365544167887,328.6993655441679,0
33,36,359.51457753017644,626.8995357474466,0
34,37,358.39091693015234,678.9097441793618,0
35,38,357.74573319400906,435.5653082549634,0
36,39,386.8322777386817,206.53178512784424,0
38,41,393.6263493621197,579.5765456329735,0
39,45,405.8412671806906,132.9193764666443,0
40,46,402.2390627560216,508.2338194330657,0
41,48,405.6620232172471,424.7608623548922,0
42,49,416.48123195380174,65.50208533846647,0
43,50,436.7663551401869,341.25482866043615,0
45,52,442.0665950590762,385.7880415324024,0
46,53,447.31515444015446,201.5050675675676,0
47,54,462.510372744139,280.12987012987014,0
48,55,467.4082178052447,491.1593452480374,0
49,56,454.2983394314664,591.1137067267098,0
50,57,470.5864361702128,107.3095079787234,0
51,58,469.6181765389082,435.8408826945412,0
52,59,487.1165127648017,158.46170559478546,0
53,60,489.2397109644989,543.3719761231542,0
55,62,483.6044751563014,634.4070417900625,0
56,63,516.6994827586207,334.3113793103448,0
57,64,502.0946385052803,402.8334687246141,0
58,65,512.5461356466877,237.60745268138805,0
59,66,522.6370400992146,571.6548160396858,0
