,cell,centroid_row,centroid_col,frame,t(sec),t(min)
1,2,287.5733012306050,505.5304975922950,0,0,0
3,4,282.172193877551,332.67602040816300,0,0,0
4,5,313.99142519219400,561.2933175635720,0,0,0
5,6,313.83788282290300,458.1834221038620,0,0,0
6,7,319.5957867017780,401.4551239850780,0,0,0
7,8,320.7128514056230,277.5883534136550,0,0,0
8,9,317.13695249845800,332.5305367057370,0,0,0
9,10,333.2075163398690,227.09517973856200,0,0,0
10,11,347.0219552609780,605.2489643744820,0,0,0
11,12,343.17364782431900,499.5087433916230,0,0,0
12,13,352.23316266246600,367.07877116975200,0,0,0
13,14,352.50650440621100,309.49895090222400,0,0,0
14,15,367.8413001912050,543.3024856596560,0,0,0
15,16,371.1008111239860,461.180764774044,0,0,0
16,17,385.50251889168800,629.9210747271200,0,0,0
17,18,379.19473264166000,210.33479648842800,0,0,0
18,19,373.08642808912900,262.77515192437500,0,0,0
19,20,408.26937086092700,417.8066225165560,0,0,0
20,21,406.7302237630000,588.0359281437130,0,0,0
21,22,396.6606334841630,357.0643539467070,0,0,0
22,23,393.82742474916400,505.27290969899700,0,0,0
23,24,397.8583208395800,307.6802848575710,0,0,0
24,25,413.9986830553120,249.63959613696200,0,0,0
25,26,436.3004681905810,474.32360231341200,0,0,0
26,27,435.6092212538660,547.2949114422270,0,0,0
27,28,437.7528517110270,216.87245074317300,0,0,0
28,29,437.9059190031150,290.02305295950200,0,0,0
29,30,446.13453724605000,639.0812641083520,0,0,0
30,31,439.79589632829400,351.44060475162000,0,0,0
31,32,444.14540466392300,177.31069958847700,0,0,0
32,33,458.99243986254300,507.9931271477660,0,0,0
33,34,472.6767041694240,598.8828590337530,0,0,0
34,35,481.6453853787630,269.6599404565000,0,0,0
35,36,484.5428668248050,318.82311080989500,0,0,0
36,37,479.8981151299030,369.4931227712690,0,0,0
37,38,488.23574796399500,405.84312044577800,0,0,0
38,39,489.70574787720400,211.4379490529070,0,0,0
39,40,483.7298630136990,447.2367123287670,0,0,0
40,41,487.35803876852900,541.7445838084380,0,0,0
41,42,507.3511574828820,491.71177045973300,0,0,0
42,43,515.7700369913690,568.1868064118370,0,0,0
43,44,529.983853606028,345.2999641191250,0,0,0
45,46,545.1205895489060,423.34368021438100,0,0,0
46,47,549.0576548500200,537.9801324503310,0,0,0
47,48,549.3871467286100,295.79055361982200,0,0,0
48,49,568.5808,370.78016,0,0,0
49,50,554.6890595009600,484.64363403710800,0,0,0
1,2,282.83664369679800,495.2507093636000,1,20,0.333333333333333
3,4,281.703125,334.4780405405410,1,20,0.333333333333333
4,5,313.35893512851900,560.3641370869030,1,20,0.333333333333333
5,6,314.7567925778660,458.02153744201500,1,20,0.333333333333333
6,7,319.5849899486260,400.8333705606430,1,20,0.333333333333333
7,8,320.87988937179000,278.08178585539300,1,20,0.333333333333333
8,9,317.3333333333330,333.1548946716230,1,20,0.333333333333333
9,10,334.9552042160740,228.24725516029900,1,20,0.333333333333333
10,11,346.30073244291300,603.0952175786300,1,20,0.333333333333333
11,12,343.0173913043480,498.7490683229810,1,20,0.333333333333333
12,13,354.05895865237400,367.7477029096480,1,20,0.333333333333333
13,14,352.8223874432050,310.0532837670380,1,20,0.333333333333333
14,15,368.1243664717350,543.601559454191,1,20,0.333333333333333
15,16,370.86686390532500,461.76153846153800,1,20,0.333333333333333
16,17,382.11168070303900,630.9919443427320,1,20,0.333333333333333
17,18,379.97984040319200,209.76144477110500,1,20,0.333333333333333
18,19,373.05594855305500,262.2,1,20,0.333333333333333
19,20,408.6611691704770,419.68092749836700,1,20,0.333333333333333
20,21,406.7077264091200,586.563647878404,1,20,0.333333333333333
21,22,398.65483714146800,356.66553232863400,1,20,0.333333333333333
22,23,394.2838626053140,505.7290991574850,1,20,0.333333333333333
23,24,398.448288973384,307.4718631178710,1,20,0.333333333333333
24,25,414.2946353730090,248.5360435875940,1,20,0.333333333333333
25,26,436.2220946915350,475.3796269727400,1,20,0.333333333333333
26,27,436.4952004517220,546.6134952004520,1,20,0.333333333333333
27,28,438.2626042800150,216.5165034457740,1,20,0.333333333333333
28,29,437.6482287134870,290.33934120571800,1,20,0.333333333333333
29,30,443.7862700228830,638.6288329519450,1,20,0.333333333333333
30,31,440.8823741007190,352.66906474820100,1,20,0.333333333333333
31,32,441.887038377987,176.25054308472100,1,20,0.333333333333333
32,33,462.1158327621660,507.1912268677180,1,20,0.333333333333333
33,34,472.68382838283800,599.1227722772280,1,20,0.333333333333333
34,35,482.32401524777600,269.358958068615,1,20,0.333333333333333
35,36,485.26727953694200,318.87912836227400,1,20,0.333333333333333
36,37,480.3481046449550,369.1612386545650,1,20,0.333333333333333
37,38,488.2965140697190,405.8534229315410,1,20,0.333333333333333
38,39,487.52843601895700,211.15978334461700,1,20,0.333333333333333
39,40,485.21325494388000,447.2079102084450,1,20,0.333333333333333
40,41,488.036,543.7542857142860,1,20,0.333333333333333
41,42,507.84032,491.39648,1,20,0.333333333333333
42,43,516.5197415649680,567.2706389088300,1,20,0.333333333333333
43,44,529.5420122610890,345.828705373242,1,20,0.333333333333333
45,46,544.6495851634940,422.028794533919,1,20,0.333333333333333
46,47,547.0984,538.8044,1,20,0.333333333333333
47,48,548.632783195799,294.82483120780200,1,20,0.333333333333333
48,49,568.8049390434510,371.01719287277300,1,20,0.333333333333333
49,50,555.0420221169040,483.89921011058500,1,20,0.333333333333333
1,2,283.184409211023,493.42884107210300,2,40,0.666666666666667
3,4,280.24734147302100,333.2512800315090,2,40,0.666666666666667
