,cell,centroid_row,centroid_col,frame
0,1,109.36193492657645,389.74200978980707,0
1,2,105.73831775700934,466.0927390366643,0
2,3,106.62680683311433,519.5492772667543,0
3,4,134.70430998756734,306.3450062163282,0
4,5,138.86972612879347,562.4786577843572,0
5,6,132.05281868969018,628.2188928390045,0
6,7,154.2979976442874,368.4469964664311,0
7,8,152.6409972299169,438.16759002770084,0
8,9,157.7380897048571,503.5837787590053,0
9,10,151.45770750988143,245.5616600790514,0
10,11,164.70405629139074,680.0120033112582,0
11,12,177.14845302299176,620.0255464093102,0
12,13,184.73578595317727,193.74338704773487,0
13,14,197.19905557573557,335.3625136215038,0
14,15,200.2405964079973,282.83361572348355,0
15,16,199.56838530410622,726.8987341772151,0
16,17,206.41888991107024,397.9503219871205,0
17,18,198.4390034364261,563.5442439862543,0
18,19,218.4641006661732,451.8235874660745,0
19,20,206.13094698685998,234.72723153602175,0
20,21,217.0792741165234,665.1454950652659,0
21,22,212.4523076923077,775.3746153846154,0
22,23,220.4710789766407,518.1084538375974,0
23,24,229.03413246647705,603.2933766761479,0
24,25,236.0231507622812,173.54799548277808,0
25,26,258.8565536205316,356.5222273143905,0
26,27,254.49189736664417,298.73767724510463,0
27,28,260.04027474242895,121.11083359350609,0
28,29,256.44667503136765,243.07590966122962,0
29,30,249.04493996569468,722.6758147512865,0
30,31,254.43937738940468,788.0772801747679,0
31,32,270.3882929819185,484.48544284400856,0
32,33,269.8726003490401,583.2904013961605,0
33,34,258.2879708383961,639.7606318347509,0
34,35,269.2319515603167,405.5519329296693,0
35,36,282.9147837314396,533.85409941898,0
36,37,274.4340770791075,686.9741379310345,0
37,38,285.48450704225354,844.9938028169014,0
38,39,285.5652173913044,192.36438923395445,0
39,40,295.6038230884558,439.44227886056973,0
40,41,300.3574397339983,747.6105569409809,0
41,42,301.5867029548989,801.648133748056,0
42,43,299.4387019230769,642.7331730769231,0
43,44,312.03422982885087,317.2205922303722,0
44,45,310.58677685950414,259.8706431908013,0
45,46,304.1725997842503,94.55987055016182,0
46,47,311.70581696924785,146.00518710633568,0
47,48,318.6310507674144,565.4468713105076,0
48,49,315.5837587006961,699.3419953596288,0
49,50,329.09847009735745,382.6664812239221,0
50,51,330.4635986420219,611.3485477178423,0
51,52,332.26604278074865,879.6466131907308,0
52,53,332.5925313945803,208.08360872438863,0
53,54,326.1276690391459,487.0791814946619,0
54,55,342.6337562051848,821.2749586321015,0
55,56,345.1025215660252,91.94990046449901,0
56,57,344.6515737161789,532.7537272225289,0
57,58,349.5867306155076,677.6742605915268,0
58,59,346.03989120580235,437.93880326382595,0
59,60,347.88706671636226,741.6619455833023,0
60,61,363.95716814159294,156.73309734513273,0
61,62,357.15077720207256,318.38290155440416,0
62,63,367.38282160901673,268.75981344733776,0
63,64,369.40889679715303,582.0270462633451,0
64,65,375.9792085848424,492.6951710261569,0
65,66,377.4765412950756,646.5141527723924,0
66,67,379.41394882087303,347.7255393878575,0
67,68,377.5801952580195,771.718270571827,0
68,69,388.0992700729927,872.5571776155717,0
69,70,379.5327239488117,214.45850091407678,0
70,71,386.56869620656676,70.95600892572521,0
71,72,400.13025477707004,388.70191082802546,0
72,73,390.65770609319,436.3573476702509,0
73,74,401.6065999258435,128.421950315165,0
74,75,390.63213811420985,913.879150066401,0
75,76,396.1123595505618,715.8507223113965,0
76,77,393.11472602739724,539.5279680365297,0
77,78,404.9345216442343,817.5183703164787,0
78,79,408.6099417823556,298.6256157635468,0
79,80,418.712715855573,240.9682103610675,0
80,81,418.8383275261324,602.9801393728224,0
81,82,422.9349019607843,183.00196078431372,0
82,83,422.3253751705321,661.7858117326057,0
83,84,419.7763496143959,773.8231362467866,0
84,85,432.24755086661645,476.41333835719666,0
85,86,424.55616302186877,340.50198807157057,0
86,87,434.62034739454094,560.7344913151364,0
87,88,437.2077794190054,516.8522895125554,0
88,89,452.2110855829983,914.4230327398047,0
89,90,442.7493268712978,65.61523963381799,0
90,91,452.3240713658965,430.7165837964317,0
91,92,452.69328174463595,704.1431586352445,0
92,93,447.9435002296739,747.9646302250804,0
93,94,444.55514705882354,859.322794117647,0
94,95,452.6384074941452,264.35503512880564,0
95,96,444.31388438681796,127.1269584008644,0
96,97,459.6301247771836,359.46256684491976,0
97,98,464.4142303628038,803.6389573793589,0
98,99,472.5054794520548,305.5027397260274,0
99,100,461.4064171122995,642.6449197860962,0
100,101,473.4114134041141,211.66456536164566,0
101,102,466.2142051860203,158.55467869222096,0
102,103,483.73851102941177,394.0859375,0
103,104,476.64758424685346,594.3641900121803,0
104,105,483.19315188762073,535.4404448346503,0
105,106,484.3817939313104,92.41247082360788,0
106,107,488.74051896207584,23.05455755156354,0
107,108,492.797703180212,476.4933745583039,0
108,109,492.6379474184352,869.4225530566994,0
109,110,499.57477567298105,688.8858424725822,0
110,111,494.0868409393,748.9415152857775,0
111,112,500.8832292167227,259.40413262854395,0
112,113,498.2498422712934,645.7167192429022,0
113,114,509.63179190751447,163.4921965317919,0
114,115,525.4508384146342,919.4512195121952,0
115,116,510.90198766278274,347.48492117888964,0
116,117,518.2113365990203,433.2256822953114,0
117,118,515.7576020851434,807.1859252823632,0
118,119,523.3336477987422,54.00754716981132,0
119,120,520.0167264038232,613.7831541218638,0
120,121,527.0949008498584,517.2148253068933,0
121,122,541.295633306211,574.2633577434228,0
122,123,534.6073500967118,740.5141199226306,0
123,124,540.570090884054,229.21399063618838,0
124,125,531.5693983893889,296.9677877783041,0
125,126,534.6329764453961,115.29892933618844,0
126,127,538.3699835074217,657.0588235294117,0
